product_num,brand,url,community,market,state,collection,city,fullzips,msa,price,date
9249,LGI,https://www.lgihomes.com/alabama/birmingham/hunters-point,hunterspointatinnsbrookewebleads,birmingham,AL,,Pinson,35126,Birmingham,1369,13/05/2024 06:26:59 PM
7134,LGI,https://www.lgihomes.com/alabama/birmingham/lexington-parc,lexingtonparc,birmingham,AL,,Montevallo,35115,Birmingham,0,13/05/2024 06:26:59 PM
8049,LGI,https://www.lgihomes.com/arizona/phoenix/bisbee-ranch,bisbeeranchwebleads,phoenix,AZ,,Florence,85132,Phoenix,1369,13/05/2024 06:26:59 PM
2564,LGI,https://www.lgihomes.com/arizona/phoenix/countrywalk-estates,countrywalkestates,phoenix,AZ,,Casa Grande,85122,Phoenix,1739,13/05/2024 06:26:59 PM
6553,LGI,https://www.lgihomes.com/arizona/phoenix/ghost-hollow-estates,ghosthollowestates,phoenix,AZ,,Casa Grande,85122,Phoenix,1469,13/05/2024 06:26:59 PM
4833,LGI,https://www.lgihomes.com/arizona/phoenix/mayfield,Mayfield,phoenix,AZ,,Buckeye,85326,Phoenix,1529,13/05/2024 06:26:59 PM
7211,LGI,https://www.lgihomes.com/arizona/phoenix/ridgeview,RidgeviewWebleads,phoenix,AZ,,Youngtown,85363,Phoenix,1759,13/05/2024 06:26:59 PM
5369,LGI,https://www.lgihomes.com/arizona/tucson/red-rock-village,redrockvillage,tucson,AZ,,Red Rock,85145,Tucson,1309,13/05/2024 06:26:59 PM
1092,LGI,https://www.lgihomes.com/arizona/tucson/star-valley,StarValley,tucson,AZ,,Tucson,85757,Tucson,1349,13/05/2024 06:26:59 PM
9498,LGI,https://www.lgihomes.com/california/bakersfield/harvest-grove,HarvestGrove,bakersfield,CA,,Bakersfield,93313,Bakersfield,1769,13/05/2024 06:26:59 PM
7737,LGI,https://www.lgihomes.com/california/bakersfield/morningstar-ranch,MorningstarRanch,bakersfield,CA,,Bakersfield,93306,Bakersfield,2029,13/05/2024 06:26:59 PM
