product_num,brand,url,type,title,community,market,state,city,fullzips,msa,price,date
1216,Beazer Homes,https://www.beazer.com/atlanta-ga/mylestone/dawson/2742-milestone-way,House,Dawson 0009,Mylestone,Atlanta,GA,Atlanta,30331,Atlanta,565188.0,09/05/2024 10:50:25 PM
5404,Beazer Homes,https://www.beazer.com/atlanta-ga/mylestone/dawson/2730-milestone-way,House,Dawson 0011,Mylestone,Atlanta,GA,Atlanta,30331,Atlanta,569538.0,09/05/2024 10:50:25 PM
6580,Beazer Homes,https://www.beazer.com/atlanta-ga/mylestone/dawson/2729-milestone-way,House,Dawson 0006,Mylestone,Atlanta,GA,Atlanta,30331,Atlanta,475000.0,09/05/2024 10:50:25 PM
7553,Beazer Homes,https://www.beazer.com/atlanta-ga/mylestone/morgan/2723-milestone-way,House,Morgan 0005,Mylestone,Atlanta,GA,Atlanta,30331,Atlanta,586521.0,09/05/2024 10:50:25 PM
8662,Beazer Homes,https://www.beazer.com/atlanta-ga/mylestone/morgan/2736-milestone-way,House,Morgan 0010,Mylestone,Atlanta,GA,Atlanta,30331,Atlanta,588223.0,09/05/2024 10:50:25 PM
9523,Beazer Homes,https://www.beazer.com/atlanta-ga/hillside-manor/riverside/800-clifftop-crossing-sw,House,Riverside 0038,Hillside Manor,Atlanta,GA,Powder Springs,30127,Powder Springs,743402.0,09/05/2024 10:50:25 PM
5945,Beazer Homes,https://www.beazer.com/atlanta-ga/hillside-manor/riverside/767-clifftop-crossing-sw,House,Riverside 0026,Hillside Manor,Atlanta,GA,Powder Springs,30127,Powder Springs,747809.0,09/05/2024 10:50:25 PM
6159,Beazer Homes,https://www.beazer.com/atlanta-ga/hillside-manor/riverside/768-clifftop-crossing-sw,House,Riverside 0030,Hillside Manor,Atlanta,GA,Powder Springs,30127,Powder Springs,771117.0,09/05/2024 10:50:25 PM
1507,Beazer Homes,https://www.beazer.com/atlanta-ga/hillside-manor/shelby/760-clifftop-crossing-sw,House,Shelby 0028,Hillside Manor,Atlanta,GA,Powder Springs,30127,Powder Springs,777318.0,09/05/2024 10:50:25 PM
2184,Beazer Homes,https://www.beazer.com/atlanta-ga/hillside-manor/tucker/763-clifftop-crossing-sw,House,Tucker 0027,Hillside Manor,Atlanta,GA,Powder Springs,30127,Powder Springs,791532.0,09/05/2024 10:50:25 PM
9245,Beazer Homes,https://www.beazer.com/atlanta-ga/hillside-manor/tucker/764-clifftop-crossing-sw,House,Tucker 0029,Hillside Manor,Atlanta,GA,Powder Springs,30127,Powder Springs,797572.0,09/05/2024 10:50:25 PM
7251,Beazer Homes,https://www.beazer.com/atlanta-ga/hillside-manor/tucker/804-clifftop-crossing-sw,House,Tucker 0039,Hillside Manor,Atlanta,GA,Powder Springs,30127,Powder Springs,799556.0,09/05/2024 10:50:25 PM
7532,Beazer Homes,https://www.beazer.com/atlanta-ga/avondale-park/blake/3375-macaiva-alley,House,Blake 0032,Avondale Park,Atlanta,GA,Decatur,30032,Decatur,490000.0,09/05/2024 10:50:25 PM
8536,Beazer Homes,https://www.beazer.com/atlanta-ga/avondale-park/ashton/584-avondale-park-cir,House,Ashton 0050,Avondale Park,Atlanta,GA,Decatur,30032,Decatur,508105.0,09/05/2024 10:50:25 PM
9952,Beazer Homes,https://www.beazer.com/atlanta-ga/avondale-park/brayton/570-avondale-park-cir,House,Brayton 0044,Avondale Park,Atlanta,GA,Decatur,30032,Decatur,552381.0,09/05/2024 10:50:25 PM
5742,Beazer Homes,https://www.beazer.com/atlanta-ga/avondale-park/lewis/612-avondale-park-cir,House,Lewis 0004,Avondale Park,Atlanta,GA,Decatur,30032,Decatur,625000.0,09/05/2024 10:50:25 PM
7126,Beazer Homes,https://www.beazer.com/atlanta-ga/pine-mountain-park/emerson/2447-hidden-creek-road,House,Emerson 0047,Pine Mountain Park,Atlanta,GA,Kennesaw,30152,Kennesaw,689438.0,09/05/2024 10:50:25 PM
5581,Beazer Homes,https://www.beazer.com/atlanta-ga/gatherings-at-herrington/clifton/3342-orwell-way-1105,House,Clifton 1105,Gatherings At Herrington,Atlanta,GA,Cumming,30041,Cumming,466030.0,09/05/2024 10:50:25 PM
5824,Beazer Homes,https://www.beazer.com/atlanta-ga/gatherings-at-herrington/dorset/3342-orwell-way-1208,House,Dorset 1208,Gatherings At Herrington,Atlanta,GA,Cumming,30041,Cumming,466030.0,09/05/2024 10:50:25 PM
2110,Beazer Homes,https://www.beazer.com/atlanta-ga/gatherings-at-herrington/clifton/3342-orwell-way-1205,House,Clifton 1205,Gatherings At Herrington,Atlanta,GA,Cumming,30041,Cumming,479320.0,09/05/2024 10:50:25 PM
4127,Beazer Homes,https://www.beazer.com/atlanta-ga/gatherings-at-herrington/clifton/3342-orwell-way-1104,House,Clifton 1104,Gatherings At Herrington,Atlanta,GA,Cumming,30041,Cumming,487770.0,09/05/2024 10:50:25 PM
