product_num,brand,url,type,title,community,market,state,collection,city,fullzips,msa,price,date
3948,Hovnanian,https://www.khov.com/find-new-homes/arizona/phoenix/85085/k-hovnanian-homes/17-north/Aquila,Home Builder,,K.Hovnanian Homes,Phoenix,AZ,Aquila,,85085,Phoenix,"389,990",09/05/2024 10:07:50 PM
5443,Hovnanian,https://www.khov.com/find-new-homes/arizona/phoenix/85085/k-hovnanian-homes/17-north/Aquila,Home Builder,,K.Hovnanian Homes,Phoenix,AZ,Aquila,,85085,Phoenix,"389,990",09/05/2024 10:08:15 PM
7139,Hovnanian,https://www.khov.com/find-new-homes/arizona/phoenix/85085/k-hovnanian-homes/17-north/Carina,Home Builder,,K.Hovnanian Homes,Phoenix,AZ,Carina,,85085,Phoenix,"399,990",09/05/2024 10:08:15 PM
9535,Hovnanian,https://www.khov.com/find-new-homes/arizona/phoenix/85085/k-hovnanian-homes/17-north/Orion,Home Builder,,K.Hovnanian Homes,Phoenix,AZ,Orion,,85085,Phoenix,"395,990",09/05/2024 10:08:15 PM
2244,Hovnanian,https://www.khov.com/find-new-homes/arizona/phoenix/85085/k-hovnanian-homes/17-north/Vela,Home Builder,,K.Hovnanian Homes,Phoenix,AZ,Vela,,85085,Phoenix,"410,990",09/05/2024 10:08:15 PM
6005,Hovnanian,https://www.khov.com/find-new-homes/california/indio/92203/k-hovnanian-homes/aguila-at-terra-lago/arosa,Home Builder,,K.Hovnanian Homes,Indio,CA,Arosa,,92203,Indio,"537,990",09/05/2024 10:08:15 PM
9246,Hovnanian,https://www.khov.com/find-new-homes/california/indio/92203/k-hovnanian-homes/aguila-at-terra-lago/evora,Home Builder,,K.Hovnanian Homes,Indio,CA,Evora,,92203,Indio,"576,990",09/05/2024 10:34:28 PM
1129,Hovnanian,https://www.khov.com/find-new-homes/california/indio/92203/k-hovnanian-homes/aguila-at-terra-lago/oban,Home Builder,,K.Hovnanian Homes,Indio,CA,Oban,,92203,Indio,"606,990",09/05/2024 10:34:28 PM
8451,Hovnanian,https://www.khov.com/find-new-homes/texas/houston/77047/k-hovnanian-homes/alicante/frances,Home Builder,,K.Hovnanian Homes,Houston,TX,Frances,,77047,Houston,"374,990",09/05/2024 10:34:28 PM
9346,Hovnanian,https://www.khov.com/find-new-homes/texas/houston/77047/k-hovnanian-homes/alicante/carter,Home Builder,,K.Hovnanian Homes,Houston,TX,Carter,,77047,Houston,"317,990",09/05/2024 10:34:28 PM
7484,Hovnanian,https://www.khov.com/find-new-homes/texas/houston/77047/k-hovnanian-homes/alicante/cleveland,Home Builder,,K.Hovnanian Homes,Houston,TX,Cleveland,,77047,Houston,"309,990",09/05/2024 10:34:28 PM
7326,Hovnanian,https://www.khov.com/find-new-homes/texas/houston/77047/k-hovnanian-homes/alicante/jefferson-ii,Home Builder,,K.Hovnanian Homes,Houston,TX,Jefferson II,,77047,Houston,"389,990",09/05/2024 10:34:28 PM
5360,Hovnanian,https://www.khov.com/find-new-homes/texas/houston/77047/k-hovnanian-homes/alicante/naples,Home Builder,,K.Hovnanian Homes,Houston,TX,Naples,,77047,Houston,"349,990",09/05/2024 10:34:28 PM
7376,Hovnanian,https://www.khov.com/find-new-homes/texas/houston/77047/k-hovnanian-homes/alicante/lincoln-ii,Home Builder,,K.Hovnanian Homes,Houston,TX,Lincoln II,,77047,Houston,"349,990",09/05/2024 10:34:28 PM
3704,Hovnanian,https://www.khov.com/find-new-homes/texas/houston/77047/k-hovnanian-homes/alicante/radcliffe-ii-444ec681-2bb4-48ae-b1da-a9bb684c5891,Home Builder,,K.Hovnanian Homes,Houston,TX,Radcliffe II,,77047,Houston,"384,990",09/05/2024 10:34:28 PM
6802,Hovnanian,https://www.khov.com/find-new-homes/arizona/glendale/85305/k-hovnanian-homes/alto/concerto,Home Builder,,K.Hovnanian Homes,Glendale,AZ,Concerto,,85305,Glendale,"427,990",09/05/2024 10:34:28 PM
7326,Hovnanian,https://www.khov.com/find-new-homes/arizona/glendale/85305/k-hovnanian-homes/alto/medley,Home Builder,,K.Hovnanian Homes,Glendale,AZ,Medley,,85305,Glendale,"439,990",09/05/2024 10:34:28 PM
9580,Hovnanian,https://www.khov.com/find-new-homes/arizona/glendale/85305/k-hovnanian-homes/alto/tenor,Home Builder,,K.Hovnanian Homes,Glendale,AZ,Tenor,,85305,Glendale,"455,990",09/05/2024 10:34:28 PM
6893,Hovnanian,https://www.khov.com/find-new-homes/arizona/glendale/85305/k-hovnanian-homes/alto/toccata,Home Builder,,K.Hovnanian Homes,Glendale,AZ,Toccata,,85305,Glendale,"463,990",09/05/2024 10:34:28 PM
4895,Hovnanian,https://www.khov.com/find-new-homes/arizona/glendale/85303/k-hovnanian-homes/ambra/clyde,Home Builder,,K.Hovnanian Homes,Glendale,AZ,Clyde,,85303,Glendale,"424,990",09/05/2024 10:34:28 PM
2315,Hovnanian,https://www.khov.com/find-new-homes/arizona/glendale/85303/k-hovnanian-homes/ambra/finlay,Home Builder,,K.Hovnanian Homes,Glendale,AZ,Finlay,,85303,Glendale,"444,990",09/05/2024 10:34:28 PM
5430,Hovnanian,https://www.khov.com/find-new-homes/arizona/glendale/85303/k-hovnanian-homes/ambra/godavari,Home Builder,,K.Hovnanian Homes,Glendale,AZ,Godavari,,85303,Glendale,"445,990",09/05/2024 10:34:28 PM
1831,Hovnanian,https://www.khov.com/find-new-homes/arizona/glendale/85303/k-hovnanian-homes/ambra/orinoco,Home Builder,,K.Hovnanian Homes,Glendale,AZ,Orinoco,,85303,Glendale,"488,990",09/05/2024 10:34:28 PM
5429,Hovnanian,https://www.khov.com/find-new-homes/west-virginia/martinsburg/25405/k-hovnanian-homes/ascend-at-liberty-run/oleander,Home Builder,,K.Hovnanian Homes,Martinsburg,WV,Oleander,,25405,Martinsburg,"386,990",09/05/2024 10:34:28 PM
8690,Hovnanian,https://www.khov.com/find-new-homes/west-virginia/martinsburg/25405/k-hovnanian-homes/ascend-at-liberty-run/water-lily,Home Builder,,K.Hovnanian Homes,Martinsburg,WV,Water Lily,,25405,Martinsburg,"403,990",09/05/2024 10:34:28 PM
8273,Hovnanian,https://www.khov.com/find-new-homes/west-virginia/martinsburg/25405/k-hovnanian-homes/ascend-at-liberty-run/forsythia,Home Builder,,K.Hovnanian Homes,Martinsburg,WV,Forsythia,,25405,Martinsburg,"371,990",09/05/2024 10:34:28 PM
9483,Hovnanian,https://www.khov.com/find-new-homes/west-virginia/martinsburg/25405/k-hovnanian-homes/ascend-at-liberty-run/daffodil,Home Builder,,K.Hovnanian Homes,Martinsburg,WV,Daffodil,,25405,Martinsburg,"366,990",09/05/2024 10:34:28 PM
9063,Hovnanian,https://www.khov.com/find-new-homes/west-virginia/martinsburg/25405/k-hovnanian-homes/ascend-at-liberty-run/sweet-pea,Home Builder,,K.Hovnanian Homes,Martinsburg,WV,Sweet Pea,,25405,Martinsburg,"392,990",09/05/2024 10:34:28 PM
1929,Hovnanian,https://www.khov.com/find-new-homes/west-virginia/martinsburg/25405/k-hovnanian-homes/ascend-at-liberty-run/goldenrod,Home Builder,,K.Hovnanian Homes,Martinsburg,WV,Goldenrod,,25405,Martinsburg,"367,990",09/05/2024 10:34:28 PM
5899,Hovnanian,https://www.khov.com/find-new-homes/west-virginia/martinsburg/25405/k-hovnanian-homes/ascend-at-liberty-run-townhomes/greenwich,Home Builder,,K.Hovnanian Homes,Martinsburg,WV,Greenwich,,25405,Martinsburg,"275,990",09/05/2024 10:34:28 PM
2582,Hovnanian,https://www.khov.com/find-new-homes/california/patterson/95363/k-hovnanian-homes/aspire-at-apricot-grove/friesian-020672bc-46a2-4b9d-94dc-4d9e24ceab78,Home Builder,,K.Hovnanian Homes,Patterson,CA,Friesian,,95363,Patterson,"527,224",09/05/2024 10:34:28 PM
8530,Hovnanian,https://www.khov.com/find-new-homes/california/patterson/95363/k-hovnanian-homes/aspire-at-apricot-grove/foxglove,Home Builder,,K.Hovnanian Homes,Patterson,CA,Foxglove,,95363,Patterson,"571,056",09/05/2024 10:34:28 PM
1981,Hovnanian,https://www.khov.com/find-new-homes/california/patterson/95363/k-hovnanian-homes/aspire-at-apricot-grove/sunflower,Home Builder,,K.Hovnanian Homes,Patterson,CA,Sunflower,,95363,Patterson,"594,137",09/05/2024 10:34:28 PM
6178,Hovnanian,https://www.khov.com/find-new-homes/california/patterson/95363/k-hovnanian-homes/aspire-at-apricot-grove/penrose,Home Builder,,K.Hovnanian Homes,Patterson,CA,Penrose,,95363,Patterson,"505,680",09/05/2024 10:34:28 PM
8063,Hovnanian,https://www.khov.com/find-new-homes/california/wheatland/95692/k-hovnanian-homes/aspire-at-caliterra-ranch/goldenrod-ii,Home Builder,,K.Hovnanian Homes,Wheatland,CA,Goldenrod II,,95692,Wheatland,"490,680",09/05/2024 10:34:28 PM
9714,Hovnanian,https://www.khov.com/find-new-homes/california/wheatland/95692/k-hovnanian-homes/aspire-at-caliterra-ranch/sweet-pea,Home Builder,,K.Hovnanian Homes,Wheatland,CA,Sweet Pea,,95692,Wheatland,"535,802",09/05/2024 10:34:28 PM
5628,Hovnanian,https://www.khov.com/find-new-homes/california/wheatland/95692/k-hovnanian-homes/aspire-at-caliterra-ranch/passionflower-ii-esp,Home Builder,,K.Hovnanian Homes,Wheatland,CA,Passionflower II,,95692,Wheatland,"528,601",09/05/2024 10:34:28 PM
1346,Hovnanian,https://www.khov.com/find-new-homes/florida/port-st-lucie/34952/k-hovnanian-homes/aspire-at-east-lake/stetson,Home Builder,,K.Hovnanian Homes,Port-St-Lucie,FL,Stetson,,34952,Port-St-Lucie,"349,995",09/05/2024 10:34:28 PM
3595,Hovnanian,https://www.khov.com/find-new-homes/delaware/felton/19943/k-hovnanian-homes/aspire-at-fork-landing/oleander,Home Builder,,K.Hovnanian Homes,Felton,DE,Oleander,,19943,Felton,"499,900",09/05/2024 10:34:28 PM
4358,Hovnanian,https://www.khov.com/find-new-homes/florida/port-st-lucie/34983/k-hovnanian-homes/aspire-at-hawks-ridge/fullerton-v,Home Builder,,K.Hovnanian Homes,Port-St-Lucie,FL,Fullerton V,,34983,Port-St-Lucie,"344,995",09/05/2024 10:34:28 PM
7818,Hovnanian,https://www.khov.com/find-new-homes/florida/port-st-lucie/34983/k-hovnanian-homes/aspire-at-hawks-ridge/fullerton-iv,Home Builder,,K.Hovnanian Homes,Port-St-Lucie,FL,Fullerton IV,,34983,Port-St-Lucie,"364,995",09/05/2024 10:34:28 PM
4077,Hovnanian,https://www.khov.com/find-new-homes/florida/port-st-lucie/34983/k-hovnanian-homes/aspire-at-hawks-ridge/arabella-iii,Home Builder,,K.Hovnanian Homes,Port-St-Lucie,FL,Arabella III,,34983,Port-St-Lucie,"322,995",09/05/2024 10:34:28 PM
8563,Hovnanian,https://www.khov.com/find-new-homes/florida/port-st-lucie/34983/k-hovnanian-homes/aspire-at-hawks-ridge/warner,Home Builder,,K.Hovnanian Homes,Port-St-Lucie,FL,Warner,,34983,Port-St-Lucie,"379,995",09/05/2024 10:34:28 PM
3778,Hovnanian,https://www.khov.com/find-new-homes/florida/port-st-lucie/34983/k-hovnanian-homes/aspire-at-hawks-ridge/warner-ii,Home Builder,,K.Hovnanian Homes,Port-St-Lucie,FL,Warner II,,34983,Port-St-Lucie,"359,995",09/05/2024 10:34:28 PM
2585,Hovnanian,https://www.khov.com/find-new-homes/ohio/louisville/44641/k-hovnanian-homes/aspire-at-orchard-park/oleander,Home Builder,,K.Hovnanian Homes,Louisville,OH,Oleander,,44641,Louisville,"315,990",09/05/2024 10:34:28 PM
8840,Hovnanian,https://www.khov.com/find-new-homes/ohio/louisville/44641/k-hovnanian-homes/aspire-at-orchard-park/forsythia,Home Builder,,K.Hovnanian Homes,Louisville,OH,Forsythia,,44641,Louisville,"294,990",09/05/2024 10:34:28 PM
3453,Hovnanian,https://www.khov.com/find-new-homes/ohio/louisville/44641/k-hovnanian-homes/aspire-at-orchard-park/water-lily,Home Builder,,K.Hovnanian Homes,Louisville,OH,Water Lily,,44641,Louisville,"335,990",09/05/2024 10:34:28 PM
7687,Hovnanian,https://www.khov.com/find-new-homes/ohio/louisville/44641/k-hovnanian-homes/aspire-at-orchard-park/goldenrod,Home Builder,,K.Hovnanian Homes,Louisville,OH,Goldenrod,,44641,Louisville,"315,990",09/05/2024 10:34:28 PM
6551,Hovnanian,https://www.khov.com/find-new-homes/florida/palm-bay/32909/k-hovnanian-homes/aspire-at-palm-bay/passionflower-ii,Home Builder,,K.Hovnanian Homes,Palm-Bay,FL,Passionflower II,,32909,Palm-Bay,"379,995",09/05/2024 10:34:28 PM
5099,Hovnanian,https://www.khov.com/find-new-homes/florida/palm-bay/32909/k-hovnanian-homes/aspire-at-palm-bay/goldenrod-ii,Home Builder,,K.Hovnanian Homes,Palm-Bay,FL,Goldenrod II,,32909,Palm-Bay,"349,995",09/05/2024 10:34:28 PM
7047,Hovnanian,https://www.khov.com/find-new-homes/florida/port-st-lucie/34953/k-hovnanian-homes/aspire-at-port-st.-lucie/dupont,Home Builder,,K.Hovnanian Homes,Port-St-Lucie,FL,Dupont,,34953,Port-St-Lucie,"409,995",09/05/2024 10:34:28 PM
3371,Hovnanian,https://www.khov.com/find-new-homes/florida/port-st-lucie/34953/k-hovnanian-homes/aspire-at-port-st.-lucie/palmera,Home Builder,,K.Hovnanian Homes,Port-St-Lucie,FL,Palmera,,34953,Port-St-Lucie,"473,995",09/05/2024 10:34:28 PM
6204,Hovnanian,https://www.khov.com/find-new-homes/california/fowler/93625/k-hovnanian-homes/aspire-at-sunnyside/topaz,Home Builder,,K.Hovnanian Homes,Fowler,CA,Topaz,,93625,Fowler,"519,990",09/05/2024 10:34:28 PM
6969,Hovnanian,https://www.khov.com/find-new-homes/california/fowler/93625/k-hovnanian-homes/aspire-at-sunnyside/juniper,Home Builder,,K.Hovnanian Homes,Fowler,CA,Juniper,,93625,Fowler,"439,990",09/05/2024 10:34:28 PM
3695,Hovnanian,https://www.khov.com/find-new-homes/california/fowler/93625/k-hovnanian-homes/aspire-at-sunnyside/paso-fino,Home Builder,,K.Hovnanian Homes,Fowler,CA,Paso Fino,,93625,Fowler,"479,450",09/05/2024 10:34:28 PM
1763,Hovnanian,https://www.khov.com/find-new-homes/california/fowler/93625/k-hovnanian-homes/aspire-at-sunnyside/larkspur,Home Builder,,K.Hovnanian Homes,Fowler,CA,Larkspur,,93625,Fowler,"509,990",09/05/2024 10:34:28 PM
3045,Hovnanian,https://www.khov.com/find-new-homes/california/fowler/93625/k-hovnanian-homes/aspire-at-sunnyside/slate,Home Builder,,K.Hovnanian Homes,Fowler,CA,Slate,,93625,Fowler,"567,990",09/05/2024 10:34:28 PM
6017,Hovnanian,https://www.khov.com/find-new-homes/florida/fort-pierce/34951/k-hovnanian-homes/aspire-at-waterstone/ashmere,Home Builder,,K.Hovnanian Homes,Fort-Pierce,FL,Ashmere,,34951,Fort-Pierce,"358,990",09/05/2024 10:34:28 PM
4316,Hovnanian,https://www.khov.com/find-new-homes/florida/fort-pierce/34951/k-hovnanian-homes/aspire-at-waterstone/eden,Home Builder,,K.Hovnanian Homes,Fort-Pierce,FL,Eden,,34951,Fort-Pierce,"374,990",09/05/2024 10:34:28 PM
5184,Hovnanian,https://www.khov.com/find-new-homes/florida/fort-pierce/34951/k-hovnanian-homes/aspire-at-waterstone/lelia,Home Builder,,K.Hovnanian Homes,Fort-Pierce,FL,Lelia,,34951,Fort-Pierce,"398,990",09/05/2024 10:34:28 PM
8278,Hovnanian,https://www.khov.com/find-new-homes/florida/fort-pierce/34951/k-hovnanian-homes/aspire-at-waterstone/emerald,Home Builder,,K.Hovnanian Homes,Fort-Pierce,FL,Emerald,,34951,Fort-Pierce,"411,990",09/05/2024 10:34:28 PM
8511,Hovnanian,https://www.khov.com/find-new-homes/texas/bellville/77418/k-hovnanian-homes/bluebonnet-village/george,Home Builder,,K.Hovnanian Homes,Bellville,TX,George,,77418,Bellville,"256,990",09/05/2024 10:34:28 PM
2498,Hovnanian,https://www.khov.com/find-new-homes/texas/bellville/77418/k-hovnanian-homes/bluebonnet-village/rochester,Home Builder,,K.Hovnanian Homes,Bellville,TX,Rochester,,77418,Bellville,"306,990",09/05/2024 10:34:28 PM
8159,Hovnanian,https://www.khov.com/find-new-homes/texas/bellville/77418/k-hovnanian-homes/bluebonnet-village/jackie-ii,Home Builder,,K.Hovnanian Homes,Bellville,TX,Jackie II,,77418,Bellville,"274,990",09/05/2024 10:34:28 PM
