product_num,brand,url,type,title,community,market,state,collection,city,fullzips,msa,price,sq_ft,data_src,date
3484,Hovnanian,https://www.khov.com/find-new-homes/arizona/phoenix/85085/k-hovnanian-homes/17-north/Aquila,Home Builder,,K.Hovnanian Homes,Phoenix,AZ,Aquila,,85085,Phoenix,"389,990","1,397",No Plan,19/05/2024 10:01:00 PM
3380,Hovnanian,https://www.khov.com/find-new-homes/arizona/phoenix/85085/k-hovnanian-homes/17-north/Carina,Home Builder,,K.Hovnanian Homes,Phoenix,AZ,Carina,,85085,Phoenix,"399,990","1,321",No Plan,19/05/2024 10:01:00 PM
5282,Hovnanian,https://www.khov.com/find-new-homes/arizona/phoenix/85085/k-hovnanian-homes/17-north/Orion,Home Builder,,K.Hovnanian Homes,Phoenix,AZ,Orion,,85085,Phoenix,"395,990","1,455",No Plan,19/05/2024 10:01:00 PM
2337,Hovnanian,https://www.khov.com/find-new-homes/arizona/phoenix/85085/k-hovnanian-homes/17-north/Vela,Home Builder,,K.Hovnanian Homes,Phoenix,AZ,Vela,,85085,Phoenix,"410,990","1,504",No Plan,19/05/2024 10:01:00 PM
8000,Hovnanian,https://www.khov.com/find-new-homes/california/indio/92203/k-hovnanian-homes/aguila-at-terra-lago/arosa,Home Builder,,K.Hovnanian Homes,Indio,CA,Arosa,,92203,Indio,"540,990","1,780",No Plan,19/05/2024 10:01:00 PM
3818,Hovnanian,https://www.khov.com/find-new-homes/california/indio/92203/k-hovnanian-homes/aguila-at-terra-lago/cork,Home Builder,,K.Hovnanian Homes,Indio,CA,Cork,,92203,Indio,"649,710","2,084",No Plan,19/05/2024 10:01:00 PM
7584,Hovnanian,https://www.khov.com/find-new-homes/california/indio/92203/k-hovnanian-homes/aguila-at-terra-lago/evora,Home Builder,,K.Hovnanian Homes,Indio,CA,Evora,,92203,Indio,"576,990","2,224",No Plan,19/05/2024 10:01:00 PM
5888,Hovnanian,https://www.khov.com/find-new-homes/california/indio/92203/k-hovnanian-homes/aguila-at-terra-lago/oban,Home Builder,,K.Hovnanian Homes,Indio,CA,Oban,,92203,Indio,"610,934","2,554",No Plan,19/05/2024 10:01:00 PM
5669,Hovnanian,https://www.khov.com/find-new-homes/texas/houston/77047/k-hovnanian-homes/alicante/frances,Home Builder,,K.Hovnanian Homes,Houston,TX,Frances,,77047,Houston,"374,990","2,080",No Plan,19/05/2024 10:01:00 PM
6245,Hovnanian,https://www.khov.com/find-new-homes/texas/houston/77047/k-hovnanian-homes/alicante/carter,Home Builder,,K.Hovnanian Homes,Houston,TX,Carter,,77047,Houston,"317,990","1,422",No Plan,19/05/2024 10:01:00 PM
6059,Hovnanian,https://www.khov.com/find-new-homes/texas/houston/77047/k-hovnanian-homes/alicante/cleveland,Home Builder,,K.Hovnanian Homes,Houston,TX,Cleveland,,77047,Houston,"309,990","1,395",No Plan,19/05/2024 10:01:00 PM
7405,Hovnanian,https://www.khov.com/find-new-homes/texas/houston/77047/k-hovnanian-homes/alicante/jefferson-ii,Home Builder,,K.Hovnanian Homes,Houston,TX,Jefferson II,,77047,Houston,"389,990","2,334",No Plan,19/05/2024 10:01:00 PM
9059,Hovnanian,https://www.khov.com/find-new-homes/texas/houston/77047/k-hovnanian-homes/alicante/naples,Home Builder,,K.Hovnanian Homes,Houston,TX,Naples,,77047,Houston,"349,990","1,755",No Plan,19/05/2024 10:01:00 PM
2708,Hovnanian,https://www.khov.com/find-new-homes/texas/houston/77047/k-hovnanian-homes/alicante/lincoln-ii,Home Builder,,K.Hovnanian Homes,Houston,TX,Lincoln II,,77047,Houston,"349,990","1,787",No Plan,19/05/2024 10:01:00 PM
3672,Hovnanian,https://www.khov.com/find-new-homes/texas/houston/77047/k-hovnanian-homes/alicante/radcliffe-ii-444ec681-2bb4-48ae-b1da-a9bb684c5891,Home Builder,,K.Hovnanian Homes,Houston,TX,Radcliffe II,,77047,Houston,"384,990","2,299",No Plan,19/05/2024 10:01:00 PM
