product_num,brand,url,type,title,community,market,state,collection,city,fullzips,msa,latitude,longitude,price,sq_ft,data_src,date
9281,Hovnanian,https://www.khov.com/find-new-homes/arizona/phoenix/85085/k-hovnanian-homes/17-north/Aquila,Home Builder,,K.Hovnanian Homes,Phoenix,AZ,Aquila,,85085,Phoenix,33.738555,-112.122492,"389,990","1,397",No Plan,29/05/2024 11:52:08 PM
5436,Hovnanian,https://www.khov.com/find-new-homes/arizona/phoenix/85085/k-hovnanian-homes/17-north/Carina,Home Builder,,K.Hovnanian Homes,Phoenix,AZ,Carina,,85085,Phoenix,33.738555,-112.122492,"399,990","1,321",No Plan,29/05/2024 11:52:08 PM
6551,Hovnanian,https://www.khov.com/find-new-homes/arizona/phoenix/85085/k-hovnanian-homes/17-north/Orion,Home Builder,,K.Hovnanian Homes,Phoenix,AZ,Orion,,85085,Phoenix,33.738555,-112.122492,"395,990","1,455",No Plan,29/05/2024 11:52:08 PM
2306,Hovnanian,https://www.khov.com/find-new-homes/arizona/phoenix/85085/k-hovnanian-homes/17-north/Vela,Home Builder,,K.Hovnanian Homes,Phoenix,AZ,Vela,,85085,Phoenix,33.738555,-112.122492,"412,990","1,504",No Plan,29/05/2024 11:52:08 PM
3416,Hovnanian,https://www.khov.com/find-new-homes/california/indio/92203/k-hovnanian-homes/aguila-at-terra-lago/arosa,Home Builder,,K.Hovnanian Homes,Indio,CA,Arosa,,92203,Indio,33.74023,-116.197548,"542,990","1,780",No Plan,29/05/2024 11:52:08 PM
6922,Hovnanian,https://www.khov.com/find-new-homes/california/indio/92203/k-hovnanian-homes/aguila-at-terra-lago/evora,Home Builder,,K.Hovnanian Homes,Indio,CA,Evora,,92203,Indio,33.74023,-116.197548,"576,990","2,224",No Plan,29/05/2024 11:52:08 PM
2254,Hovnanian,https://www.khov.com/find-new-homes/california/indio/92203/k-hovnanian-homes/aguila-at-terra-lago/oban,Home Builder,,K.Hovnanian Homes,Indio,CA,Oban,,92203,Indio,33.74023,-116.197548,"612,934","2,554",No Plan,29/05/2024 11:52:08 PM
4711,Hovnanian,https://www.khov.com/find-new-homes/california/indio/92203/k-hovnanian-homes/aguila-at-terra-lago/cork-esp,Home Builder,,K.Hovnanian Homes,Indio,CA,Cork,,92203,Indio,33.74023,-116.197548,"651,710","2,084",No Plan,29/05/2024 11:52:08 PM
3766,Hovnanian,https://www.khov.com/find-new-homes/texas/houston/77047/k-hovnanian-homes/alicante/frances,Home Builder,,K.Hovnanian Homes,Houston,TX,Frances,,77047,Houston,29.614037,-95.417966,"374,990","2,080",No Plan,29/05/2024 11:52:08 PM
7513,Hovnanian,https://www.khov.com/find-new-homes/texas/houston/77047/k-hovnanian-homes/alicante/carter,Home Builder,,K.Hovnanian Homes,Houston,TX,Carter,,77047,Houston,29.614037,-95.417966,"317,990","1,422",No Plan,29/05/2024 11:52:08 PM
2465,Hovnanian,https://www.khov.com/find-new-homes/texas/houston/77047/k-hovnanian-homes/alicante/cleveland,Home Builder,,K.Hovnanian Homes,Houston,TX,Cleveland,,77047,Houston,29.614037,-95.417966,"309,990","1,395",No Plan,29/05/2024 11:52:08 PM
1193,Hovnanian,https://www.khov.com/find-new-homes/texas/houston/77047/k-hovnanian-homes/alicante/jefferson-ii,Home Builder,,K.Hovnanian Homes,Houston,TX,Jefferson II,,77047,Houston,29.614037,-95.417966,"389,990","2,334",No Plan,29/05/2024 11:52:08 PM
2142,Hovnanian,https://www.khov.com/find-new-homes/texas/houston/77047/k-hovnanian-homes/alicante/naples,Home Builder,,K.Hovnanian Homes,Houston,TX,Naples,,77047,Houston,29.614037,-95.417966,"349,990","1,755",No Plan,29/05/2024 11:52:08 PM
2998,Hovnanian,https://www.khov.com/find-new-homes/texas/houston/77047/k-hovnanian-homes/alicante/lincoln-ii,Home Builder,,K.Hovnanian Homes,Houston,TX,Lincoln II,,77047,Houston,29.614037,-95.417966,"349,990","1,787",No Plan,29/05/2024 11:52:08 PM
7611,Hovnanian,https://www.khov.com/find-new-homes/texas/houston/77047/k-hovnanian-homes/alicante/radcliffe-ii-444ec681-2bb4-48ae-b1da-a9bb684c5891,Home Builder,,K.Hovnanian Homes,Houston,TX,Radcliffe II,,77047,Houston,29.614037,-95.417966,"384,990","2,299",No Plan,29/05/2024 11:52:08 PM
5804,Hovnanian,https://www.khov.com/find-new-homes/arizona/glendale/85305/k-hovnanian-homes/alto/concerto,Home Builder,,K.Hovnanian Homes,Glendale,AZ,Concerto,,85305,Glendale,33.543364,-112.219737,"427,990","1,986",No Plan,29/05/2024 11:52:08 PM
5878,Hovnanian,https://www.khov.com/find-new-homes/arizona/glendale/85305/k-hovnanian-homes/alto/medley,Home Builder,,K.Hovnanian Homes,Glendale,AZ,Medley,,85305,Glendale,33.543364,-112.219737,"439,990","2,255",No Plan,29/05/2024 11:52:08 PM
4382,Hovnanian,https://www.khov.com/find-new-homes/arizona/glendale/85305/k-hovnanian-homes/alto/tenor,Home Builder,,K.Hovnanian Homes,Glendale,AZ,Tenor,,85305,Glendale,33.543364,-112.219737,"455,990","2,465",No Plan,29/05/2024 11:52:08 PM
4569,Hovnanian,https://www.khov.com/find-new-homes/arizona/glendale/85305/k-hovnanian-homes/alto/toccata,Home Builder,,K.Hovnanian Homes,Glendale,AZ,Toccata,,85305,Glendale,33.543364,-112.219737,"463,990","2,645",No Plan,29/05/2024 11:52:08 PM
1429,Hovnanian,https://www.khov.com/find-new-homes/arizona/glendale/85303/k-hovnanian-homes/ambra/clyde,Home Builder,,K.Hovnanian Homes,Glendale,AZ,Clyde,,85303,Glendale,33.552061854133,-112.23061557959,"424,990","1,416",No Plan,29/05/2024 11:52:08 PM
3586,Hovnanian,https://www.khov.com/find-new-homes/arizona/glendale/85303/k-hovnanian-homes/ambra/finlay,Home Builder,,K.Hovnanian Homes,Glendale,AZ,Finlay,,85303,Glendale,33.552061854133,-112.23061557959,"445,990","1,604",No Plan,29/05/2024 11:52:08 PM
3782,Hovnanian,https://www.khov.com/find-new-homes/arizona/glendale/85303/k-hovnanian-homes/ambra/godavari,Home Builder,,K.Hovnanian Homes,Glendale,AZ,Godavari,,85303,Glendale,33.552061854133,-112.23061557959,"445,990","1,682",No Plan,29/05/2024 11:52:08 PM
5669,Hovnanian,https://www.khov.com/find-new-homes/arizona/glendale/85303/k-hovnanian-homes/ambra/orinoco,Home Builder,,K.Hovnanian Homes,Glendale,AZ,Orinoco,,85303,Glendale,33.552061854133,-112.23061557959,"489,990","2,082",No Plan,29/05/2024 11:52:08 PM
4094,Hovnanian,https://www.khov.com/find-new-homes/texas/baytown/77523/k-hovnanian-homes/ascend-at-legends-bay/tigris-ii,Home Builder,,K.Hovnanian Homes,Baytown,TX,Tigris II,,77523,Baytown,29.816165,-94.848474,"351,990","2,563",No Plan,29/05/2024 11:52:08 PM
5716,Hovnanian,https://www.khov.com/find-new-homes/texas/baytown/77523/k-hovnanian-homes/ascend-at-legends-bay/orinoco-ii,Home Builder,,K.Hovnanian Homes,Baytown,TX,Orinoco II,,77523,Baytown,29.816165,-94.848474,"324,990","1,999",No Plan,29/05/2024 11:52:08 PM
1642,Hovnanian,https://www.khov.com/find-new-homes/texas/baytown/77523/k-hovnanian-homes/ascend-at-legends-bay/clyde-ii,Home Builder,,K.Hovnanian Homes,Baytown,TX,Clyde II,,77523,Baytown,29.816165,-94.848474,"296,990","1,388",No Plan,29/05/2024 11:52:08 PM
5487,Hovnanian,https://www.khov.com/find-new-homes/texas/baytown/77523/k-hovnanian-homes/ascend-at-legends-bay/zambezi-ii,Home Builder,,K.Hovnanian Homes,Baytown,TX,Zambezi II,,77523,Baytown,29.816165,-94.848474,"363,990","2,830",No Plan,29/05/2024 11:52:08 PM
8856,Hovnanian,https://www.khov.com/find-new-homes/texas/baytown/77523/k-hovnanian-homes/ascend-at-legends-bay/daffodil-iv,Home Builder,,K.Hovnanian Homes,Baytown,TX,Daffodil IV,,77523,Baytown,29.816165,-94.848474,"298,990","1,628",No Plan,29/05/2024 11:52:08 PM
7053,Hovnanian,https://www.khov.com/find-new-homes/texas/baytown/77523/k-hovnanian-homes/ascend-at-legends-bay/goldenrod-ii,Home Builder,,K.Hovnanian Homes,Baytown,TX,Goldenrod II,,77523,Baytown,29.816165,-94.848474,"306,990","1,749",No Plan,29/05/2024 11:52:08 PM
3310,Hovnanian,https://www.khov.com/find-new-homes/texas/baytown/77523/k-hovnanian-homes/ascend-at-legends-bay/passionflower-ii,Home Builder,,K.Hovnanian Homes,Baytown,TX,Passionflower II,,77523,Baytown,29.816165,-94.848474,"324,990","2,017",No Plan,29/05/2024 11:52:08 PM
3586,Hovnanian,https://www.khov.com/find-new-homes/texas/baytown/77523/k-hovnanian-homes/ascend-at-legends-bay/sweet-pea,Home Builder,,K.Hovnanian Homes,Baytown,TX,Sweet Pea,,77523,Baytown,29.816165,-94.848474,"338,990","2,266",No Plan,29/05/2024 11:52:08 PM
6722,Hovnanian,https://www.khov.com/find-new-homes/west-virginia/martinsburg/25405/k-hovnanian-homes/ascend-at-liberty-run/oleander,Home Builder,,K.Hovnanian Homes,Martinsburg,WV,Oleander,,25405,Martinsburg,39.416207,-77.895915,"386,990","2,080",No Plan,29/05/2024 11:52:08 PM
9914,Hovnanian,https://www.khov.com/find-new-homes/west-virginia/martinsburg/25405/k-hovnanian-homes/ascend-at-liberty-run/water-lily,Home Builder,,K.Hovnanian Homes,Martinsburg,WV,Water Lily,,25405,Martinsburg,39.416207,-77.895915,"403,990","2,486",No Plan,29/05/2024 11:52:08 PM
9581,Hovnanian,https://www.khov.com/find-new-homes/west-virginia/martinsburg/25405/k-hovnanian-homes/ascend-at-liberty-run/forsythia,Home Builder,,K.Hovnanian Homes,Martinsburg,WV,Forsythia,,25405,Martinsburg,39.416207,-77.895915,"371,990","1,799",No Plan,29/05/2024 11:52:08 PM
1089,Hovnanian,https://www.khov.com/find-new-homes/west-virginia/martinsburg/25405/k-hovnanian-homes/ascend-at-liberty-run/daffodil,Home Builder,,K.Hovnanian Homes,Martinsburg,WV,Daffodil,,25405,Martinsburg,39.416207,-77.895915,"366,990","1,628",No Plan,29/05/2024 11:52:08 PM
4998,Hovnanian,https://www.khov.com/find-new-homes/west-virginia/martinsburg/25405/k-hovnanian-homes/ascend-at-liberty-run/sweet-pea,Home Builder,,K.Hovnanian Homes,Martinsburg,WV,Sweet Pea,,25405,Martinsburg,39.416207,-77.895915,"392,990","2,203",No Plan,29/05/2024 11:52:08 PM
6506,Hovnanian,https://www.khov.com/find-new-homes/west-virginia/martinsburg/25405/k-hovnanian-homes/ascend-at-liberty-run/goldenrod,Home Builder,,K.Hovnanian Homes,Martinsburg,WV,Goldenrod,,25405,Martinsburg,39.416207,-77.895915,"367,990","1,762",No Plan,29/05/2024 11:52:08 PM
4824,Hovnanian,https://www.khov.com/find-new-homes/west-virginia/martinsburg/25405/k-hovnanian-homes/ascend-at-liberty-run-townhomes/greenwich,Home Builder,,K.Hovnanian Homes,Martinsburg,WV,Greenwich,,25405,Martinsburg,39.416207,-77.895915,"275,990","1,918",No Plan,29/05/2024 11:52:08 PM
2116,Hovnanian,https://www.khov.com/find-new-homes/california/patterson/95363/k-hovnanian-homes/aspire-at-apricot-grove/friesian-020672bc-46a2-4b9d-94dc-4d9e24ceab78,Home Builder,,K.Hovnanian Homes,Patterson,CA,Friesian,,95363,Patterson,37.486229,-121.122682,"527,224","1,912",No Plan,29/05/2024 11:52:08 PM
7036,Hovnanian,https://www.khov.com/find-new-homes/california/patterson/95363/k-hovnanian-homes/aspire-at-apricot-grove/foxglove,Home Builder,,K.Hovnanian Homes,Patterson,CA,Foxglove,,95363,Patterson,37.486229,-121.122682,"566,056","2,189",No Plan,29/05/2024 11:52:08 PM
4158,Hovnanian,https://www.khov.com/find-new-homes/california/patterson/95363/k-hovnanian-homes/aspire-at-apricot-grove/sunflower,Home Builder,,K.Hovnanian Homes,Patterson,CA,Sunflower,,95363,Patterson,37.486229,-121.122682,"594,137","2,506",No Plan,29/05/2024 11:52:08 PM
8008,Hovnanian,https://www.khov.com/find-new-homes/california/wheatland/95692/k-hovnanian-homes/aspire-at-caliterra-ranch/goldenrod-ii,Home Builder,,K.Hovnanian Homes,Wheatland,CA,Goldenrod II,,95692,Wheatland,39.005539,-121.441755,"491,990","1,711",No Plan,29/05/2024 11:52:08 PM
2093,Hovnanian,https://www.khov.com/find-new-homes/california/wheatland/95692/k-hovnanian-homes/aspire-at-caliterra-ranch/passionflower-ii,Home Builder,,K.Hovnanian Homes,Wheatland,CA,Passionflower II,,95692,Wheatland,39.005539,-121.441755,"543,409","1,977",No Plan,29/05/2024 11:52:08 PM
5177,Hovnanian,https://www.khov.com/find-new-homes/california/wheatland/95692/k-hovnanian-homes/aspire-at-caliterra-ranch/water-lily-ii,Home Builder,,K.Hovnanian Homes,Wheatland,CA,Water Lily II,,95692,Wheatland,39.005539,-121.441755,"573,833","2,548",No Plan,29/05/2024 11:52:08 PM
3100,Hovnanian,https://www.khov.com/find-new-homes/california/wheatland/95692/k-hovnanian-homes/aspire-at-caliterra-ranch/passionflower-ii-esp,Home Builder,,K.Hovnanian Homes,Wheatland,CA,Passionflower II,,95692,Wheatland,39.005539,-121.441755,"536,601","1,977",No Plan,29/05/2024 11:52:08 PM
