address,latirude,longitude,url
18300 W Alameda Pkwy,39.662745,-105.2277417,"https://www.google.com/maps/@39.662745,-105.2277417,14z?entry=ttu"
5747 Seminole Way,39.6200556,-105.2415969,"https://www.google.com/maps/@39.6200556,-105.2415969,17z?entry=ttu"
1200 Athens Ave.,38.8400957,-121.3162517,"https://www.google.com/maps/@38.8400957,-121.3162517,17z?entry=ttu"
777 Casino Avenue,33.7602747,-97.1300017,"https://www.google.com/maps/@33.7602747,-97.1300017,17z?entry=ttu"
1921 W Gate City Blvd,36.0583846,-79.8283973,"https://www.google.com/maps/@36.0583846,-79.8283973,17z?entry=ttu"
600 Towne Center Dr.,33.8689209,-118.0623805,"https://www.google.com/maps/@33.8689209,-118.0623805,17z?entry=ttu"
"1551 Trap Rd, Vienna, VA 22182",38.936406,-77.2670628,"https://www.google.com/maps/@38.936406,-77.2670628,17z?entry=ttu"
777 Pacific Blvd,38.9999585,-77.4432196,"https://www.google.com/maps/@38.9999585,-77.4432196,17z?entry=ttu"
4501 Carey Ave.,38.3622056,-75.5684982,"https://www.google.com/maps/@38.3622056,-75.5684982,17z?entry=ttu"
3000 S Las Vegas Blvd,36.1341269,-115.1701789,"https://www.google.com/maps/@36.1341269,-115.1701789,17z?entry=ttu"
140 Stewart Ave,36.1732295,-115.1457921,"https://www.google.com/maps/@36.1732295,-115.1457921,17z?entry=ttu"
161 Seven Farms Dr,32.8617949,-79.903707,"https://www.google.com/maps/@32.8617949,-79.903707,17z?entry=ttu"
200 Marina Park Way,32.7047854,-117.1684584,"https://www.google.com/maps/@32.7047854,-117.1684584,17z?entry=ttu"
777 San Manuel Blvd.,34.1507382,-117.231212,"https://www.google.com/maps/@34.1507382,-117.231212,17z?entry=ttu"
2727 East D St.,34.0670966,-117.6135786,"https://www.google.com/maps/@34.0670966,-117.6135786,17z?entry=ttu"
6800 E Soaring Eagle Blvd,43.6075588,-84.7148317,"https://www.google.com/maps/@43.6075588,-84.7148317,17z?entry=ttu"
1 Alltel Arena Way,43.6075588,-84.7148317,"https://www.google.com/maps/@43.6075588,-84.7148317,17z?entry=ttu"
1201 North West Avenue,42.329836,-87.5944283,"https://www.google.com/maps/@42.329836,-87.5944283,8z?entry=ttu"
550 Hersheypark Dr,40.2864219,-76.6716705,"https://www.google.com/maps/@40.2864219,-76.6716705,17z?entry=ttu"
297 West St,50.4937169,-96.5987117,"https://www.google.com/maps/@50.4937169,-96.5987117,17z?entry=ttu"
3200 Decker Lake Dr,40.7027085,-111.9531473,"https://www.google.com/maps/@40.7027085,-111.9531473,17z?entry=ttu"
7100 Oxon Hill Rd,38.7916547,-77.0056388,"https://www.google.com/maps/@38.7916547,-77.0056388,17z?entry=ttu"
2100 Barton Springs Road,30.2660703,-97.7717097,"https://www.google.com/maps/@30.2660703,-97.7717097,17z?entry=ttu"
1 Circuit Gilles Villeneuve,45.5014017,-73.5252241,"https://www.google.com/maps/@45.5014017,-73.5252241,17z?entry=ttu"
99 Monmouth St.,45.5228134,-73.6303912,"https://www.google.com/maps/@45.5228134,-73.6303912,17z?entry=ttu"
777 N Tamiami Trail,27.3428277,-82.5529682,"https://www.google.com/maps/@27.3428277,-82.5529682,17z?entry=ttu"
701 Okeechobee Blvd.,26.7068774,-80.062965,"https://www.google.com/maps/@26.7068774,-80.062965,17z?entry=ttu"
2604 Washington Road,26.6866419,-80.0524273,"https://www.google.com/maps/@26.6866419,-80.0524273,17z?entry=ttu"
201 SW 5th Ave.,26.610962,-81.1096412,"https://www.google.com/maps/@26.610962,-81.1096412,9z?entry=ttu"
500 Boardwalk,39.3627499,-74.4173975,"https://www.google.com/maps/@39.3627499,-74.4173975,17z?entry=ttu"
21 W. Main St.,40.2598945,-74.2780704,"https://www.google.com/maps/@40.2598945,-74.2780704,17z?entry=ttu"
2425 Lincoln Hwy East,40.0866158,-76.2310465,"https://www.google.com/maps/@40.0866158,-76.2310465,9z?entry=ttu"
1265 Snelling Ave. North,44.9811016,-93.1702084,"https://www.google.com/maps/@44.9811016,-93.1702084,17z?entry=ttu"
201 SW Jefferson St.,45.044613,-93.2965194,"https://www.google.com/maps/@45.044613,-93.2965194,13z?entry=ttu"
650 Walnut St.,44.9731733,-93.2312681,"https://www.google.com/maps/@44.9731733,-93.2312681,17z?entry=ttu"
3000 E Grand Ave,44.9442306,-93.2795961,"https://www.google.com/maps/@44.9442306,-93.2795961,13z?entry=ttu"
440 N. 32nd St.,44.9451053,-93.2877877,"https://www.google.com/maps/@44.9451053,-93.2877877,15z?entry=ttu"
350 Trolley Line Blvd,41.4733358,-71.9625783,"https://www.google.com/maps/@41.4733358,-71.9625783,17z?entry=ttu"
77 Sands Blvd,40.6147707,-75.3622844,"https://www.google.com/maps/@40.6147707,-75.3622844,17z?entry=ttu"
3001 Civic Center Circle,35.3093838,-106.6899292,"https://www.google.com/maps/@35.3093838,-106.6899292,17z?entry=ttu"
2400 Mystic Lake Blvd.,44.7324406,-93.4775006,"https://www.google.com/maps/@44.7324406,-93.4775006,17z?entry=ttu"
370 New York Ave,40.7077515,-74.0363906,"https://www.google.com/maps/@40.7077515,-74.0363906,13z?entry=ttu"
6408 Stanley Ave,43.0802195,-79.0878663,"https://www.google.com/maps/@43.0802195,-79.0878663,17z?entry=ttu"
4418 S Highway 69,43.0802195,-79.0878663,"https://www.google.com/maps/@43.0802195,-79.0878663,17z?entry=ttu"
100 E Baltimore Dr,39.6093925,-77.7086931,"https://www.google.com/maps/@39.6093925,-77.7086931,17z?entry=ttu"
2198 Riverside Ave,35.6388394,-120.6901893,"https://www.google.com/maps/@35.6388394,-120.6901893,17z?entry=ttu"
15 E  Caracas Ave,40.2851528,-76.6512282,"https://www.google.com/maps/@40.2851528,-76.6512282,17z?entry=ttu"
2600 N 10th St,40.2742242,-76.6558338,"https://www.google.com/maps/@40.2742242,-76.6558338,17z?entry=ttu"
13350 FSW Pkwy,26.5513896,-81.8899224,"https://www.google.com/maps/@26.5513896,-81.8899224,17z?entry=ttu"
169 Ocean Blvd,26.9354724,-80.076731,"https://www.google.com/maps/@26.9354724,-80.076731,17z?entry=ttu"
200 Maple Leaf Boulevard,39.1980496,-86.2393727,"https://www.google.com/maps/@39.1980496,-86.2393727,17z?entry=ttu"
2999 Street Rd,40.1184168,-74.9556574,"https://www.google.com/maps/@40.1184168,-74.9556574,17z?entry=ttu"
3131 South Las Vegas Boulevard,36.127366,-115.1686922,"https://www.google.com/maps/@36.127366,-115.1686922,17z?entry=ttu"
16101 N. 83 Ave.,33.6312146,-112.2361804,"https://www.google.com/maps/@33.6312146,-112.2361804,17z?entry=ttu"
4400 University Dr.,33.4222225,-112.0266525,"https://www.google.com/maps/@33.4222225,-112.0266525,11z?entry=ttu"
32-250 Bob Hope Drive,33.8147966,-116.4110215,"https://www.google.com/maps/@33.8147966,-116.4110215,17z?entry=ttu"
2241 Shelter Island Dr.,33.3364437,-115.9927499,"https://www.google.com/maps/@33.3364437,-115.9927499,17z?entry=ttu"
