product_num,brand,url,type,title,community,market,state,collection,city,fullzips,msa,price,sq_ft,site_plan,date,Sales Model,Closed,Quick Delivery,Sold,Unavailable,Future Development,Available,Reserved,total
2705,Hovnanian,https://www.khov.com/find-new-homes/florida/kissimmee/34747/four-seasons/k.-hovnanian's-four-seasons-at-orlando/tobago-extra-suite-plus,Home Builder,,K.Hovnanian Homes,Kissimmee,FL,K. Hovnanian's® Four Seasons at Orlando,,34747,Kissimmee,"5,95,990",,plan_available,20/05/24,1,499,14,9,0,3,23,0,549
4673,Hovnanian,https://www.khov.com/find-new-homes/south-carolina/mount-pleasant/29466/k-hovnanian-homes/liberty-hill-farm,Home Builder,,K.Hovnanian Homes,Mount-Pleasant,SC,Liberty Hill Farm,,29466,Mount-Pleasant,"9,88,990","2,446",plan_available,20/05/24,3,185,0,32,1,100,0,0,321
3231,Hovnanian,https://www.khov.com/find-new-homes/delaware/lewes/19958/k-hovnanian-homes/tower-hill,Home Builder,,K.Hovnanian Homes,Lewes,DE,Tower Hill,,19958,Lewes,"6,54,990","1,780",plan_available,20/05/24,2,101,4,33,1,123,26,2,292
4355,Hovnanian,https://www.khov.com/find-new-homes/california/fowler/93625/k-hovnanian-homes/aspire-at-sunnyside,Home Builder,,K.Hovnanian Homes,Fowler,CA,Aspire at Sunnyside,,93625,Fowler,"4,29,990","1,694",plan_available,20/05/24,2,183,8,8,10,64,0,0,275
3640,Hovnanian,https://www.khov.com/find-new-homes/new-jersey/west-windsor-township/08550/k-hovnanian-homes/townes-at-west-windsor,Home Builder,,K.Hovnanian Homes,West-Windsor-Township,NJ,Townes at West Windsor,,8550,West-Windsor-Township,"8,73,990","2,347",plan_available,20/05/24,3,0,0,52,0,159,40,0,254
8042,Hovnanian,https://www.khov.com/find-new-homes/west-virginia/martinsburg/25405/k-hovnanian-homes/ascend-at-liberty-run,Home Builder,,K.Hovnanian Homes,Martinsburg,WV,Ascend at Liberty Run,,25405,Martinsburg,"3,66,990","1,628",plan_available,20/05/24,2,0,0,25,0,205,16,0,248
9982,Hovnanian,https://www.khov.com/find-new-homes/west-virginia/martinsburg/25405/k-hovnanian-homes/ascend-at-liberty-run-townhomes,Home Builder,,K.Hovnanian Homes,Martinsburg,WV,Ascend at Liberty Run Townhomes,,25405,Martinsburg,"2,75,990","1,918",plan_available,20/05/24,2,0,0,25,0,205,16,0,248
7039,Hovnanian,https://www.khov.com/find-new-homes/delaware/middletown/19709/k-hovnanian-homes/pleasanton,Home Builder,,K.Hovnanian Homes,Middletown,DE,Pleasanton,,19709,Middletown,"5,92,900","2,167",plan_available,20/05/24,2,56,2,44,0,111,21,0,236
8994,Hovnanian,https://www.khov.com/find-new-homes/west-virginia/hedgesville/25427/k-hovnanian-homes/dillon-farm,Home Builder,,K.Hovnanian Homes,Hedgesville,WV,Aspire at Dillon Farm,,25427,Hedgesville,"3,47,990","2,081",plan_available,20/05/24,1,162,4,45,0,0,7,0,219
1017,Hovnanian,https://www.khov.com/find-new-homes/new-jersey/warren/07059/k-hovnanian-homes/hills-at-warren,Home Builder,,K.Hovnanian Homes,Warren,NJ,Hills at Warren,,7059,Warren,"6,54,990","1,632",plan_available,20/05/24,2,0,5,23,133,0,29,0,192
2393,Hovnanian,https://www.khov.com/find-new-homes/delaware/georgetown/19947/k-hovnanian-homes/liberty-west,Home Builder,,K.Hovnanian Homes,Georgetown,DE,Liberty West,,19947,Georgetown,"4,49,900","1,822",plan_available,20/05/24,2,0,11,5,0,144,19,0,181
6009,Hovnanian,https://www.khov.com/find-new-homes/virginia/alexandria/22306/k-hovnanian-homes/north-hill,Home Builder,,K.Hovnanian Homes,Alexandria,VA,North Hill,,22306,Alexandria,"7,92,393","2,008",plan_available,20/05/24,1,134,15,22,0,0,3,0,175
2528,Hovnanian,https://www.khov.com/find-new-homes/texas/lavon/75166/k-hovnanian-homes/elevon,Home Builder,,K.Hovnanian Homes,Lavon,TX,Elevon,,75166,Lavon,"5,29,900","2,825",plan_available,20/05/24,1,16,26,38,60,0,29,0,170
8803,Hovnanian,https://www.khov.com/find-new-homes/texas/houston/77051/k-hovnanian-homes/kirby-landing,Home Builder,,K.Hovnanian Homes,Houston,TX,Kirby Landing,,77051,Houston,"3,67,490","1,787",plan_available,20/05/24,2,107,7,18,11,3,17,0,165
3881,Hovnanian,https://www.khov.com/find-new-homes/texas/tomball/77375/k-hovnanian-homes/willowpoint,Home Builder,,K.Hovnanian Homes,Tomball,TX,Willowpoint,,77375,Tomball,"2,84,950","1,413",plan_available,20/05/24,1,68,6,29,4,0,46,0,154
4958,Hovnanian,https://www.khov.com/find-new-homes/california/wheatland/95692/k-hovnanian-homes/aspire-at-caliterra-ranch,Home Builder,,K.Hovnanian Homes,Wheatland,CA,Aspire at Caliterra Ranch,,95692,Wheatland,"4,91,990","1,711",plan_available,20/05/24,2,67,8,20,1,47,0,0,145
3873,Hovnanian,https://www.khov.com/find-new-homes/texas/mont-belvieu/77523/k-hovnanian-homes/lakes-of-champion's-estates,Home Builder,,K.Hovnanian Homes,Mont-Belvieu,TX,Lakes of Champion's Estates,,77523,Mont-Belvieu,"3,88,950","2,044",plan_available,20/05/24,1,103,8,20,0,0,7,0,139
4822,Hovnanian,https://www.khov.com/find-new-homes/maryland/glenn-dale/20769/k-hovnanian-homes/fairway-estates,Home Builder,,K.Hovnanian Homes,Glenn-Dale,MD,Fairway Estates,,20769,Glenn-Dale,"6,62,990","2,393",plan_available,20/05/24,2,55,3,45,0,23,11,0,139
3687,Hovnanian,https://www.khov.com/find-new-homes/delaware/millville/19967/k-hovnanian-homes/egret-shores,Home Builder,,K.Hovnanian Homes,Millville,DE,Egret Shores,,19967,Millville,"4,19,900","1,349",plan_available,20/05/24,1,14,10,18,0,79,13,0,135
